date,city,country,latitude,longitude,temp_max_c,temp_min_c,temp_mean_c,precipitation_mm,wind_max_kmh,humidity_pct
2015-03-10,Paris,Europe,48.86,2.35,11.2,3.9,8.0,0.9,11.7,91
2015-03-11,Paris,Europe,48.86,2.35,13.0,4.0,8.1,0.0,13.0,76
2015-03-12,Paris,Europe,48.86,2.35,12.9,0.9,6.8,0.0,15.7,65
2015-03-13,Paris,Europe,48.86,2.35,11.2,1.4,6.2,0.0,11.5,68
2015-03-14,Paris,Europe,48.86,2.35,10.0,2.5,6.1,0.0,20.2,66
2015-03-15,Paris,Europe,48.86,2.35,7.8,3.7,5.8,0.8,15.0,82
2015-03-16,Paris,Europe,48.86,2.35,12.6,0.7,6.7,0.0,8.8,80
2015-03-17,Paris,Europe,48.86,2.35,16.4,1.2,8.7,0.0,8.4,74
2015-03-18,Paris,Europe,48.86,2.35,15.8,4.1,9.1,0.0,19.2,79
2015-03-19,Paris,Europe,48.86,2.35,9.0,4.0,6.3,0.0,18.8,81
2015-03-20,Paris,Europe,48.86,2.35,13.6,5.1,8.4,0.0,19.7,80
2015-03-21,Paris,Europe,48.86,2.35,9.5,3.5,6.2,0.0,18.8,81
2015-03-22,Paris,Europe,48.86,2.35,10.3,4.1,7.0,0.8,22.9,73
2015-03-23,Paris,Europe,48.86,2.35,12.2,-0.3,6.3,0.0,9.4,74
2015-03-24,Paris,Europe,48.86,2.35,8.8,3.6,5.7,7.7,12.8,83
2015-03-25,Paris,Europe,48.86,2.35,9.7,2.4,6.0,1.5,16.6,75
2015-03-26,Paris,Europe,48.86,2.35,8.1,-2.1,3.8,3.2,23.2,90
2015-03-27,Paris,Europe,48.86,2.35,10.8,2.0,7.0,0.0,15.9,78
2015-03-28,Paris,Europe,48.86,2.35,14.0,5.1,9.8,0.3,26.9,86
2015-03-29,Paris,Europe,48.86,2.35,12.6,9.3,10.8,6.0,35.9,86
2015-03-30,Paris,Europe,48.86,2.35,11.3,7.8,10.1,4.7,26.6,75
